Rk,G,Date,home_away,Opp,W/L,celtics_points,opp_points,c_FG,c_FGA,c_FG%,c_3P,c_3PA,c_3P%,c_FT,c_FTA,c_FT%,c_ORB,c_TRB,c_AST,c_STL,c_BLK,c_TOV,c_PF,o_FG,o_FGA,o_FG%,o_3P,o_3PA,o_3P%,o_FT,o_FTA,o_FT%,o_ORB,o_TRB,o_AST,o_STL,o_BLK,o_TOV,o_PF
1,1,10/20/21,@,NYK,L,134,138,48,117,0.41,21,57,0.368,17,23,0.739,15,56,34,13,9,18,24,51,105,0.486,17,45,0.378,19,27,0.704,7,55,27,9,10,17,22
2,2,10/22/21,,TOR,L,83,115,32,82,0.39,11,34,0.324,8,11,0.727,10,42,19,6,12,25,19,42,100,0.42,10,35,0.286,21,21,1,21,60,22,16,2,11,13
3,3,10/24/21,@,HOU,W,107,97,38,86,0.442,15,47,0.319,16,20,0.8,6,43,22,10,6,11,22,32,75,0.427,14,32,0.438,19,24,0.792,5,40,20,7,4,18,20
4,4,10/25/21,@,CHO,W,140,129,50,101,0.495,19,50,0.38,21,25,0.84,11,53,33,8,9,12,23,46,103,0.447,19,44,0.432,18,28,0.643,14,52,26,4,6,14,25
5,5,10/27/21,,WAS,L,107,116,37,85,0.435,10,29,0.345,23,28,0.821,10,37,18,9,5,13,21,43,84,0.512,9,25,0.36,21,29,0.724,11,47,18,8,7,15,20
6,6,10/30/21,@,WAS,L,112,115,44,107,0.411,2,26,0.077,22,25,0.88,8,54,23,8,10,11,32,38,104,0.365,10,36,0.278,29,36,0.806,12,62,19,6,7,13,22
7,7,11/1/21,,CHI,L,114,128,42,96,0.438,15,33,0.455,15,20,0.75,13,38,20,10,1,9,15,49,86,0.57,13,31,0.419,17,18,0.944,10,50,30,7,8,14,19
8,8,11/3/21,@,ORL,W,92,79,33,79,0.418,10,37,0.27,16,25,0.64,9,50,24,7,9,11,20,27,84,0.321,9,43,0.209,16,20,0.8,8,46,15,8,1,14,20
9,9,11/4/21,@,MIA,W,95,78,31,78,0.397,16,41,0.39,17,20,0.85,11,46,16,7,4,16,16,28,81,0.346,9,41,0.22,13,19,0.684,13,45,18,8,0,18,19
10,10,11/6/21,@,DAL,L,104,107,42,86,0.488,9,31,0.29,11,16,0.688,8,36,20,6,2,11,14,41,78,0.526,13,39,0.333,12,14,0.857,7,40,19,7,6,15,18
11,11,11/10/21,,TOR,W,104,88,42,94,0.447,10,29,0.345,10,15,0.667,12,44,21,10,5,15,13,33,77,0.429,6,25,0.24,16,19,0.842,6,41,20,8,8,18,17
12,12,11/12/21,,MIL,W,122,113,47,96,0.49,12,41,0.293,16,18,0.889,16,53,22,5,7,16,12,44,98,0.449,16,47,0.34,9,11,0.818,12,39,23,7,3,11,19
13,13,11/13/21,@,CLE,L,89,91,33,78,0.423,6,23,0.261,17,18,0.944,10,47,20,7,3,19,16,31,81,0.383,10,38,0.263,19,22,0.864,9,39,17,10,4,11,19
14,14,11/15/21,@,CLE,W,98,92,36,78,0.462,10,29,0.345,16,20,0.8,6,46,23,7,6,14,16,32,83,0.386,16,40,0.4,12,16,0.75,7,42,18,6,3,13,18
15,15,11/17/21,@,ATL,L,99,110,37,84,0.44,11,41,0.268,14,17,0.824,12,42,24,9,2,14,17,41,81,0.506,13,37,0.351,15,18,0.833,6,40,28,9,4,11,17
16,16,11/19/21,,LAL,W,130,108,44,88,0.5,11,30,0.367,31,38,0.816,12,51,22,7,2,12,20,39,84,0.464,12,30,0.4,18,24,0.75,7,33,20,5,6,12,29
17,17,11/20/21,,OKC,W,111,105,41,88,0.466,17,39,0.436,12,14,0.857,8,48,28,4,7,7,11,39,96,0.406,18,42,0.429,9,16,0.563,15,54,23,5,0,9,15
18,18,11/22/21,,HOU,W,108,90,39,92,0.424,12,35,0.343,18,19,0.947,11,58,19,10,3,14,24,31,83,0.373,11,42,0.262,17,24,0.708,4,42,19,5,4,14,20
19,19,11/24/21,,BRK,L,104,123,34,91,0.374,11,48,0.229,25,28,0.893,15,45,25,6,5,11,24,43,85,0.506,14,35,0.4,23,30,0.767,10,50,29,8,4,10,23
20,20,11/26/21,@,SAS,L,88,96,34,92,0.37,10,34,0.294,10,15,0.667,12,51,20,4,8,10,20,38,87,0.437,6,24,0.25,14,19,0.737,8,53,21,7,6,10,15
21,21,11/28/21,@,TOR,W,109,97,34,82,0.415,12,34,0.353,29,31,0.935,12,53,24,5,3,17,19,35,93,0.376,13,42,0.31,14,16,0.875,14,44,19,6,5,10,24
22,22,12/1/21,,PHI,W,88,87,33,79,0.418,11,28,0.393,11,15,0.733,4,46,18,5,8,13,15,33,89,0.371,8,31,0.258,13,17,0.765,8,46,20,7,9,7,17
23,23,12/3/21,@,UTA,L,130,137,47,91,0.516,14,39,0.359,22,22,1,5,30,23,9,3,6,22,45,81,0.556,27,51,0.529,20,23,0.87,9,44,26,3,3,19,27
24,24,12/4/21,@,POR,W,145,117,49,87,0.563,21,37,0.568,26,29,0.897,12,46,26,5,7,11,21,42,89,0.472,8,29,0.276,25,32,0.781,9,32,22,7,2,9,21
25,25,12/7/21,@,LAL,L,102,117,36,82,0.439,10,33,0.303,20,29,0.69,7,34,27,8,4,13,16,48,93,0.516,8,27,0.296,13,17,0.765,13,51,25,7,4,14,21
26,26,12/8/21,@,LAC,L,111,114,41,86,0.477,10,32,0.313,19,21,0.905,14,47,26,11,3,22,21,40,85,0.471,14,32,0.438,20,22,0.909,9,38,20,13,7,20,18
27,27,12/10/21,@,PHO,L,90,111,35,93,0.376,4,26,0.154,16,24,0.667,15,46,13,7,6,13,17,43,96,0.448,14,38,0.368,11,11,1,14,53,25,4,9,12,21
